Establishment Number,Establishment Name,City,State,District Number,Product Class,Category
M1015+P1015+V1015,"Empire Kosher Poultry, Inc.",Mifflintown,PA,60,Young Chicken Carcasses,1.0
M112+P112,"Tyson Foods, Inc",Green Forest,AR,35,Young Chicken Carcasses,1.0
M1234+P1234,Mountaire Farms Inc.,Siler City,NC,80,Young Chicken Carcasses,1.0
M13456+P13456+V13456,"Tyson Foods, Inc.",Pine Bluff,AR,35,Young Chicken Carcasses,2.0
M13556+P13556,"Tyson Foods, Inc.",Sedalia,MO,35,Young Chicken Carcasses,2.0
M1655+P1655+V1655,"Rashbe Holdings, Inc.",Birdsboro,PA,60,Young Chicken Carcasses,1.0
M17250+P6+V6,"Tyson Foods, Inc.",Blountsville,AL,90,Young Chicken Carcasses,1.0
M17980+P17980,Pilgrim's Pride Corporation,Sumter,SC,85,Young Chicken Carcasses,2.0
M19636+P19636,Tyson Foods Inc,Union City,TN,90,Young Chicken Carcasses,1.0
M20322+P20322,"Keystone Foods, LLC.",Baker Hill,AL,90,Young Chicken Carcasses,1.0
M20446+P20446+V20446,Central Illinois Poultry Processing LLC,Arthur,IL,50,Young Chicken Carcasses,1.0
M20826+P20826+V20826,Griggstown Quail Farm,Princeton,NJ,80,Young Chicken Carcasses,1.0
M2161+P3,"Mountaire Farms of Delaware, Inc.",Millsboro,DE,80,Young Chicken Carcasses,1.0
M27297+P27297,Campo Lindo Farms,Lathrop,MO,35,Young Chicken Carcasses,3.0
M27389+P27389+V27389,Pitman Farms,Sanger,CA,5,Young Chicken Carcasses,3.0
M31727+P31727+V31727A,Kiryas Joel Poultry Processing Plant,Monroe,NY,60,Young Chicken Carcasses,1.0
M322A+P322,Pilgrim's Pride Corporation,Cold Spring,MN,25,Young Chicken Carcasses,1.0
M34145+P34145,"Kadejan, Inc.",Glenwood,MN,25,Young Chicken Carcasses,1.0
M4005+P4005+V4005,Williamsburg Packing Company Inc.,Kingstree,SC,85,Young Chicken Carcasses,1.0
M4181+P4181,"Mao Foods, Inc.",Los Angeles,CA,5,Young Chicken Carcasses,1.0
M44121+P44121,Pelleh Poultry Corp.,Swan Lake,NY,60,Young Chicken Carcasses,3.0
M45465+P45465+V45465,Common Wealth Poultry Co,Gardiner,ME,60,Young Chicken Carcasses,3.0
M45479+P45479,Rettland Farm LLC,Gettysburg,PA,60,Young Chicken Carcasses,1.0
M45525+P45525+V45525,Pine Creek Processing LLC,Ridgeland,WI,25,Young Chicken Carcasses,3.0
M46324A+P46324A+V46324A,Morning Star Poultry,Fort Plain,NY,60,Young Chicken Carcasses,2.0
M46498+P46498,"Westminster Meat Packing, Inc.",Westminster,VT,60,Young Chicken Carcasses,3.0
M4653A+P4653A+V4653A,"Agri Star Meat and Poultry, LLC",Postville,IA,25,Young Chicken Carcasses,1.0
M46910+P46910+V46910,B & R Meat Processing,Winslow,AR,35,Young Chicken Carcasses,3.0
M46942+P46942,Maple Wind Farm,Richmond,VT,60,Young Chicken Carcasses,1.0
M47579+P47579,Tyson Foods Inc.,Humboldt,TN,90,Young Chicken Carcasses,1.0
M48281+P48281+V48281,"White Lake Foods, LLC",Ferndale,NY,60,Young Chicken Carcasses,3.0
M51255+P51255,Natural State Processing,Clinton,AR,35,Young Chicken Carcasses,1.0
M51302+P51302,Belmont Meats LLC,Paradise,PA,60,Young Chicken Carcasses,1.0
M51351+P51351,Underground Slaughter LLC,Walling,TN,90,Young Chicken Carcasses,3.0
M56+P56,Pilgrim's Pride Corporation,Timberville,VA,80,Young Chicken Carcasses,1.0
M5842+P5842+V5842,"Tyson Foods, Inc.",Springdale,AR,35,Young Chicken Carcasses,3.0
M6137+P6137,"Foster Poultry Farms, LLC",Livingston,CA,5,Young Chicken Carcasses,1.0
M667+P667,Mountaire Farms Inc.,Selbyville,DE,80,Young Chicken Carcasses,1.0
M7100+P7100+V7100,"Tyson Foods, Inc.",Nashville,AR,35,Young Chicken Carcasses,2.0
M737+P737,House of Raeford - Wallace Div,Teachey,NC,80,Young Chicken Carcasses,2.0
M7428+P7428+V7428,"Joyce Foods, Inc.",Winston Salem,NC,80,Young Chicken Carcasses,1.0
M744+P744,Vineland Poultry LLC,Vineland,NJ,80,Young Chicken Carcasses,1.0
M7470+P7470,Mountaire Farms Inc. - NC Division,Lumber Bridge,NC,80,Young Chicken Carcasses,1.0
M7478+P1,"Tyson Foods, Inc.",Wilkesboro,NC,80,Young Chicken Carcasses,2.0
M7559+P134+V7559,David Elliot Poultry Farm Inc.,Scranton,PA,60,Young Chicken Carcasses,3.0
M810+P810,Pilgrim's Pride Corporation,Moorefield,WV,80,Young Chicken Carcasses,1.0
M9977+P1325,"Tyson Foods, Inc.",New Holland,PA,60,Young Chicken Carcasses,1.0
P1009,Wayne Farms LLC,Danville,AR,35,Young Chicken Carcasses,1.0
P1137,"Tyson Foods, Inc.",Seguin,TX,40,Young Chicken Carcasses,1.0
P1235,Wayne Farms LLC,Decatur,AL,90,Young Chicken Carcasses,2.0
P1241,"Tyson Foods, Inc.",Corydon,IN,50,Young Chicken Carcasses,1.0
P1243,"Perdue Foods, LLC.",Rockingham,NC,80,Young Chicken Carcasses,1.0
P1249,"George's Chicken, LLC",Edinburg,VA,80,Young Chicken Carcasses,1.0
P1250,Fieldale Farms Corporation,Cornelia,GA,85,Young Chicken Carcasses,1.0
P1254+V1254,"Koch Foods of Ashland, LLC",Ashland,AL,90,Young Chicken Carcasses,1.0
P1257,Fieldale Farms Corporation,Murrayville,GA,85,Young Chicken Carcasses,1.0
P1272,Pilgrim's Pride Corporation,Douglas,GA,85,Young Chicken Carcasses,1.0
P1284,Pilgrim's Pride Corporation,Canton,GA,85,Young Chicken Carcasses,2.0
P1294+V1294,Holmes Foods Inc.,Nixon,TX,40,Young Chicken Carcasses,1.0
P1307,Mar-Jac Poultry-AL,Jasper,AL,90,Young Chicken Carcasses,3.0
P1309,House of Raeford Farms Inc.,Greenville,SC,85,Young Chicken Carcasses,1.0
P1315,"Tyson Foods, Inc.",Monett,MO,35,Young Chicken Carcasses,1.0
P1317+V1317,Wayne Farms LLC,Albertville,AL,90,Young Chicken Carcasses,2.0
P1318,"Perdue Foods, LLC",Milford,DE,80,Young Chicken Carcasses,1.0
P13369+V13369,"George's Processing, Inc.",Cassville,MO,35,Young Chicken Carcasses,1.0
P1353,Pilgrim's Pride Corporation,Chattanooga,TN,90,Young Chicken Carcasses,2.0
P15724+V15724,Case Farms Processing,Winesburg,OH,50,Young Chicken Carcasses,1.0
P1605,"Tide Mill Organic Farm, LLC",Edmunds Twp,ME,60,Young Chicken Carcasses,3.0
P164,Tyson Foods Inc,Forest,MS,90,Young Chicken Carcasses,1.0
P165H,Bachoco OK Foods,Heavener,OK,40,Young Chicken Carcasses,1.0
P165S+V165S,Bachoco OK Foods,Fort Smith,AR,35,Young Chicken Carcasses,2.0
P170,Wayne Farms LLC,Pendergrass,GA,85,Young Chicken Carcasses,1.0
P17340,Pilgrim's Pride Corporation,Hickory,KY,90,Young Chicken Carcasses,1.0
P17500,Pilgrim's Pride Corporation,Russellville,AL,90,Young Chicken Carcasses,2.0
P177,Pilgrim's Pride Corporation,Gainesville,GA,85,Young Chicken Carcasses,1.0
P17966+V17966,"HVFG, LLC",Ferndale,NY,60,Young Chicken Carcasses,1.0
P18285,Perdue Foods LLC,Dillon,SC,85,Young Chicken Carcasses,2.0
P18414,MB Consultants LTD,South Fallsburg,NY,60,Young Chicken Carcasses,1.0
P18438B,"Dupont Market, Inc. dba Grimaud Farms",Stockton,CA,5,Young Chicken Carcasses,3.0
P18557,"Sanderson Farms, Inc.",Summit,MS,90,Young Chicken Carcasses,1.0
P18873,"Tyson Foods, Inc.",Vienna,GA,85,Young Chicken Carcasses,1.0
P18978,Misty Knoll Farms,New Haven,VT,60,Young Chicken Carcasses,3.0
P19112,Perdue Foods LLC,Cromwell,KY,90,Young Chicken Carcasses,2.0
P19128,Case Farms Processing,Dudley,NC,80,Young Chicken Carcasses,1.0
P19150+V19150,La Belle Farm Inc,Ferndale,NY,60,Young Chicken Carcasses,3.0
P192,Pilgrim's Pride Corporation,Guntersville,AL,90,Young Chicken Carcasses,1.0
P1949,"Simmons Prepared Foods, Inc.",Gentry,AR,35,Young Chicken Carcasses,1.0
P19514,"Tyson Foods, Inc.",Robards,KY,90,Young Chicken Carcasses,1.0
P19688+V19688,"Sanderson Farms, Inc.",Bryan,TX,40,Young Chicken Carcasses,1.0
P1978,Pasture Raised Foods LLC,Elgin,TX,40,Young Chicken Carcasses,1.0
P19865+V19865,House of Raeford Farms of LA,Arcadia,LA,40,Young Chicken Carcasses,2.0
P20245,"Keystone Foods, LLC",Albany,KY,90,Young Chicken Carcasses,3.0
P20251,"Tecumseh Poultry, LLC",Tecumseh,NE,15,Young Chicken Carcasses,1.0
P206+V206,Pilgrim's Pride Corporation,Nacogdoches,TX,40,Young Chicken Carcasses,1.0
P20604,"Gerber Poultry, Inc.",Kidron,OH,50,Young Chicken Carcasses,2.0
P208+V208,"George's Processing, Inc.",Springdale,AR,35,Young Chicken Carcasses,2.0
P211,"Palmetto Pigeon Plant, Inc.",Sumter,SC,85,Young Chicken Carcasses,3.0
P21234,Perdue Foods LLC,Perry,GA,85,Young Chicken Carcasses,1.0
P2178,PERDUE FOODS LLC,Georgetown,DE,80,Young Chicken Carcasses,1.0
P218,Pilgrim's Pride Corporation,Lufkin,TX,40,Young Chicken Carcasses,2.0
P2186,"GEORGE'S FOODS, LLC",Harrisonburg,VA,80,Young Chicken Carcasses,1.0
P243,"Tyson Foods, Inc.",Cumming,GA,85,Young Chicken Carcasses,1.0
P247,"Sanderson Farms, Inc. (Processing Div)",Hazlehurst,MS,90,Young Chicken Carcasses,1.0
P2632,Pilgrim's Pride Corporation,Live Oak,FL,85,Young Chicken Carcasses,1.0
P2686,"Keystone Foods, LLC",Camilla,GA,85,Young Chicken Carcasses,2.0
P2882,Perdue Foods LLC,Petaluma,CA,5,Young Chicken Carcasses,1.0
P2894,House of Raeford Vienna,Vienna,GA,85,Young Chicken Carcasses,1.0
P308,Koch Foods of Mississippi,Morton,MS,90,Young Chicken Carcasses,2.0
P32,"Mar-Jac Poultry, Inc.",Gainesville,GA,85,Young Chicken Carcasses,1.0
P320,"Sanderson Farms, Inc.",Laurel,MS,90,Young Chicken Carcasses,1.0
P32143,Otto's Poultry Inc.,Middleville,MI,50,Young Chicken Carcasses,1.0
P32182,"Sanderson Farms, Inc.",Moultrie,GA,85,Young Chicken Carcasses,1.0
P325,"Tyson Foods, Inc.",Center,TX,40,Young Chicken Carcasses,1.0
P33900+V33900,"Foster Poultry Farms, LLC",Farmerville,LA,40,Young Chicken Carcasses,2.0
P341,Golden Rod Broilers,Cullman,AL,90,Young Chicken Carcasses,2.0
P34308,"Sanderson Farms, Inc.",Waco,TX,40,Young Chicken Carcasses,1.0
P39,Pine Manor Inc.,Orland,IN,50,Young Chicken Carcasses,2.0
P39915+V39915,"LOCUST POINT FARMS, LLC",Elkton,MD,80,Young Chicken Carcasses,3.0
P40,Pilgrim's Pride Corporation,Ellijay,GA,85,Young Chicken Carcasses,1.0
P40183,"Sanderson Farms, Inc.",Kinston,NC,80,Young Chicken Carcasses,1.0
P40345,Misty Lea Farm Poultry Processing,Pembroke,KY,90,Young Chicken Carcasses,3.0
P419,"Case Farms Processing, Inc.",Morganton,NC,80,Young Chicken Carcasses,1.0
P445,"Wayne Farms, LLC",Dobson,NC,80,Young Chicken Carcasses,1.0
P44826,Case Farms Processing,Canton,OH,50,Young Chicken Carcasses,1.0
P44974+V44974,Goffle Road Poultry Farm,Wyckoff,NJ,80,Young Chicken Carcasses,3.0
P44992,Windy Meadows Family Farm,Campbell,TX,40,Young Chicken Carcasses,2.0
P45342+V45342,"Munsell's Poultry Processing, LLC",Fowlerville,MI,50,Young Chicken Carcasses,2.0
P45483,"Peco Foods, Inc.",Pocahontas,AR,35,Young Chicken Carcasses,1.0
P45819,King and Sons Poultry Service Inc,Bradford,OH,50,Young Chicken Carcasses,1.0
P45910,"Sanderson Farms, Inc.",St Pauls,NC,80,Young Chicken Carcasses,2.0
P46091,"Ozark Mountain Poultry, Inc.",Batesville,AR,35,Young Chicken Carcasses,1.0
P46166+V46166,Zem Zem Halal Poultry Processing LLC,Rock Falls,IL,50,Young Chicken Carcasses,1.0
P46213,Burgundy Pasture Poultry LLC,Hillsboro,TX,40,Young Chicken Carcasses,1.0
P46248A,Wabash Poultry Processing,Forrest,IL,50,Young Chicken Carcasses,3.0
P46374,Sanderson Farms Processing Inc. Tyler Processing Division,Tyler,TX,40,Young Chicken Carcasses,2.0
P468,"Peco Foods, Inc.",Batesville,AR,35,Young Chicken Carcasses,1.0
P46826,SHENANDOAH VALLEY ORGANIC,Harrisonburg,VA,80,Young Chicken Carcasses,2.0
P46897,"IHSAN FARMS, IIC",Princess Anne,MD,80,Young Chicken Carcasses,3.0
P47016,"The Best Dressed Chicken, Inc.",Ward,SC,85,Young Chicken Carcasses,2.0
P47254,Shining Comb Poultry,Romulus,NY,60,Young Chicken Carcasses,2.0
P47394,Poultry Processing of Atlanta,Loganville,GA,85,Young Chicken Carcasses,2.0
P476,Pilgrim's Pride Corporation,Carrollton,GA,85,Young Chicken Carcasses,1.0
P47824,Regenerative Agriculture Alliance,Stacyville,IA,25,Young Chicken Carcasses,1.0
P47998+V47998,Pure Prairie Poultry Inc.,Charles City,IA,25,Young Chicken Carcasses,2.0
P481,"Tyson Foods, Inc.",Springdale,AR,35,Young Chicken Carcasses,3.0
P48304,Lincoln Premium Poultry,Fremont,NE,15,Young Chicken Carcasses,3.0
P48308,"J-Bar Poultry Processing, LLC",New Plymouth,ID,15,Young Chicken Carcasses,3.0
P48466,"Al-Kawthar Poultry, LLC",Stevens,PA,60,Young Chicken Carcasses,3.0
P509,Koch Foods LLC,Morristown,TN,90,Young Chicken Carcasses,1.0
P510,House Of Raeford Farms,Rose Hill,NC,80,Young Chicken Carcasses,1.0
P51179+V51179,"Sanderson Farms, Inc.",Palestine,TX,40,Young Chicken Carcasses,1.0
P51228,Adams Turkey Farm,Westford,VT,60,Young Chicken Carcasses,1.0
P517,Mar-Jac Poultry-MS,Hattiesburg,MS,90,Young Chicken Carcasses,1.0
P519,Amick Farms LLC,Laurel,MS,90,Young Chicken Carcasses,1.0
P522,"Sanderson Farms, Inc. (Processing Div)",Collins,MS,90,Young Chicken Carcasses,2.0
P529+V529,Pilgrim's Pride Corporation,Arcadia,WI,25,Young Chicken Carcasses,1.0
P533,"Table Trust Brands, LLC, DBA FreeBird",Fredericksburg,PA,60,Young Chicken Carcasses,2.0
P548,"JCG  Foods of Alabama, LLC",Collinsville,AL,90,Young Chicken Carcasses,1.0
P559,"Tyson Foods, Inc.",Albertville,AL,90,Young Chicken Carcasses,1.0
P5787,Pilgrim's Pride Corporation,Natchitoches,LA,40,Young Chicken Carcasses,1.0
P6058,Perdue Foods LLC,Mount Vernon,WA,15,Young Chicken Carcasses,2.0
P6137A,"Foster Poultry Farms, LLC",Fresno,CA,5,Young Chicken Carcasses,3.0
P6164A,"Foster Poultry Farms, LLC",Kelso,WA,15,Young Chicken Carcasses,1.0
P622,"Tyson Foods, Inc.",Monroe,NC,80,Young Chicken Carcasses,1.0
P646,"JCG Foods of Georgia, LLC",Pine Mt Valley,GA,85,Young Chicken Carcasses,1.0
P6504,"Peco Foods, Inc.",Tuscaloosa,AL,90,Young Chicken Carcasses,1.0
P6505,"Norman W. Fries, Inc.",Claxton,GA,85,Young Chicken Carcasses,1.0
P6510,"Peco Foods, Inc",Bay Springs,MS,90,Young Chicken Carcasses,1.0
P6519B,"Coastal Processing, LLC",Louisville,GA,85,Young Chicken Carcasses,1.0
P6529,"Koch Foods of  Montgomery, AL",Montgomery,AL,90,Young Chicken Carcasses,1.0
P6616+V6616,"Peco Foods, Inc.",Sebastopol,MS,90,Young Chicken Carcasses,1.0
P6638,Pilgrim's Pride Corporation,Enterprise,AL,90,Young Chicken Carcasses,2.0
P6651,Tyson Foods Inc.,Shelbyville,TN,90,Young Chicken Carcasses,1.0
P6666,"Koch Foods of Gadsden, LLC",Gadsden,AL,90,Young Chicken Carcasses,1.0
P687,House of Raeford,West Columbia,SC,85,Young Chicken Carcasses,1.0
P689+V689,"Cooks Venture Poultry Jay, Inc.",Jay,OK,40,Young Chicken Carcasses,1.0
P7044,"Tyson Foods, Inc.",Carthage,TX,40,Young Chicken Carcasses,2.0
P705,Pilgrim's Pride Corporation,De Queen,AR,35,Young Chicken Carcasses,1.0
P7085+V7085,"Tyson Foods, Inc",Broken Bow,OK,40,Young Chicken Carcasses,2.0
P7091,Pilgrim's Pride Corporation,Mount Pleasant,TX,40,Young Chicken Carcasses,2.0
P7101,"Tyson Foods, Inc.",Clarksville,AR,35,Young Chicken Carcasses,1.0
P7156+V7156,"Tyson Foods, Inc.",Hope,AR,35,Young Chicken Carcasses,2.0
P72,"Tyson Foods, Inc",Dardanelle,AR,35,Young Chicken Carcasses,2.0
P7264+V7264,"Sanderson Farms, Inc.",Hammond,LA,40,Young Chicken Carcasses,1.0
P727+V727,"Simmons Prepared Foods, Inc.",South West City,MO,35,Young Chicken Carcasses,1.0
P7342+V7342,Wayne Farms LLC,Dothan,AL,90,Young Chicken Carcasses,1.0
P7374,"To-Ricos, Ltd.",Aibonito,PR,85,Young Chicken Carcasses,1.0
P7485+V7485,Wayne Farms LLC,Jack,AL,90,Young Chicken Carcasses,1.0
P7487,"Koch Foods, LLC",Chattanooga,TN,90,Young Chicken Carcasses,2.0
P758,"Tyson Foods, Inc",Carthage,MS,90,Young Chicken Carcasses,1.0
P7632,"Foster Poultry Farms, LLC",Fresno,CA,5,Young Chicken Carcasses,2.0
P764,"Perdue Foods, LLC",Salisbury,MD,80,Young Chicken Carcasses,1.0
P768+V768,"Tyson Foods, Inc.",Waldron,AR,35,Young Chicken Carcasses,1.0
P7903,"Perdue Foods, LLC",Accomac,VA,80,Young Chicken Carcasses,1.0
P7927,"AMICK FARMS, LLC",Hurlock,MD,80,Young Chicken Carcasses,1.0
P794,"B&B Poultry Co., Inc.",Norma,NJ,80,Young Chicken Carcasses,1.0
P7987,"Amick Farms, LLC",Batesburg,SC,85,Young Chicken Carcasses,1.0
P806,"Tyson Foods, Inc.",Temperanceville,VA,80,Young Chicken Carcasses,1.0
P8107+V8107,Squab Producers Of California,Modesto,CA,5,Young Chicken Carcasses,1.0
P843,Pilgrim's Pride Corporation,Marshville,NC,80,Young Chicken Carcasses,1.0
P855,Pilgrim's Pride Corporation,Athens,GA,85,Young Chicken Carcasses,2.0
P890,"Peco Foods, Inc.",Canton,MS,90,Young Chicken Carcasses,2.0
P910,"Harrison Poultry, Inc.",Bethlehem,GA,85,Young Chicken Carcasses,1.0
P912,Wayne Farms LLC,Union Springs,AL,90,Young Chicken Carcasses,1.0
P9197,"Perdue Foods, LLC.",Lewiston Woodville,NC,80,Young Chicken Carcasses,1.0
P935,Allen Harim LLC,Harbeson,DE,80,Young Chicken Carcasses,1.0
P9378+V9378,Baffoni's Poultry Farm Inc.,Johnston,RI,60,Young Chicken Carcasses,3.0
M10+P7212+V10,Buckhead Meat & Seafood of Houston.,Houston,TX,40,Chicken Parts,2.0
M10017+P10017,Bert Hazekamp & Son Inc.,Muskegon,MI,50,Chicken Parts,1.0
M1015+P1015+V1015,"Empire Kosher Poultry, Inc.",Mifflintown,PA,60,Chicken Parts,3.0
M1046+P1046+V1046,S & S Meat Co.,Kansas City,MO,35,Chicken Parts,1.0
M1097+P8891,"Demakes Enterprises, LLC",Lynn,MA,60,Chicken Parts,1.0
M11078+P11078,Burris Logistics,Los Angeles,CA,5,Chicken Parts,1.0
M112+P112,"Tyson Foods, Inc",Green Forest,AR,35,Chicken Parts,1.0
M11507+P11507+V11507,Perdue Foods LLC,Monterey,TN,90,Chicken Parts,1.0
M11509+P11509,Bachoco OK Foods,Albertville,AL,90,Chicken Parts,1.0
M1160+P9207,Rocker Bros. Meat & Provision Inc.,Inglewood,CA,5,Chicken Parts,1.0
M1234+P1234,Mountaire Farms Inc.,Siler City,NC,80,Chicken Parts,1.0
M12650+P12650,Fieldale Farms Corporation,Gainesville,GA,85,Chicken Parts,3.0
M1305+P1305+V1305,"Holly Poultry, LLC",Baltimore,MD,80,Chicken Parts,3.0
M13127+P13127,Ditta Meat Company,Pasadena,TX,40,Chicken Parts,2.0
M13170+P13170+V13170,Oklahoma City Meat Company,Oklahoma City,OK,40,Chicken Parts,1.0
M13432A+P13432A,"Martin Preferred Foods, L.P.",Houston,TX,40,Chicken Parts,2.0
M13456+P13456+V13456,"Tyson Foods, Inc.",Pine Bluff,AR,35,Chicken Parts,1.0
M13484+P13484,Direct Source Meats,San Antonio,TX,40,Chicken Parts,1.0
M13530+P13530,Tian Tian Food Service,Houston,TX,40,Chicken Parts,1.0
M13556+P13556,"Tyson Foods, Inc.",Sedalia,MO,35,Chicken Parts,1.0
M13564+P13564,"Rath, Inc.",Apache,OK,40,Chicken Parts,1.0
M13590+P13590,"Southwest Processor, Inc.",Stafford,TX,40,Chicken Parts,2.0
M1383+P677,Praters Foods,Lubbock,TX,40,Chicken Parts,1.0
M1392+P1392,"Dudley Poultry Company, Inc,",Middlesex,NY,60,Chicken Parts,1.0
M15735+P15735+V15735,"Fulton Troika, LLC",Chicago,IL,50,Chicken Parts,1.0
M15805+P15805+V15805,J&B Wholesale Distributing Inc.,St Michael,MN,25,Chicken Parts,3.0
M1645+P1645,"Nathan & Sons, Inc.",South El Monte,CA,5,Chicken Parts,1.0
M1655+P1655+V1655,"Rashbe Holdings, Inc.",Birdsboro,PA,60,Chicken Parts,1.0
M1698+P787+V1698,Schreiber Processing Corporation,Maspeth,NY,60,Chicken Parts,2.0
M17202S+P17202S,Americold Logistics LLC,Sanford,NC,80,Chicken Parts,1.0
M17250+P6+V6,"Tyson Foods, Inc.",Blountsville,AL,90,Chicken Parts,1.0
M17335+P17335,"Intra Coastal Packing, Inc.",Lake Worth,FL,85,Chicken Parts,1.0
M17395+P17395,50th State Poultry,Pearl City,HI,15,Chicken Parts,1.0
M17557+P17557,"JPI Wholesalers, Inc.",Barry,IL,50,Chicken Parts,1.0
M1759+P1759,Fortune Wisconsin LLC,Green Bay,WI,25,Chicken Parts,3.0
M17751+P17751,Chamblee Meats & Supplies,Chamblee,GA,85,Chicken Parts,1.0
M1791+P27353,"Best Chicago Meat Company, LLC",Chicago,IL,50,Chicken Parts,3.0
M17967+P17967,"Los Altos Beef, Inc.",Huntington Park,CA,5,Chicken Parts,1.0
M17980+P17980,Pilgrim's Pride Corporation,Sumter,SC,85,Chicken Parts,1.0
M18554+P18554,JCG Industries,Chicago,IL,50,Chicken Parts,1.0
M18554A+P18554A,JCG Industries,Franklin Park,IL,50,Chicken Parts,2.0
M18578+P18578,"Kelly's Foods, Inc.",Winter Garden,FL,85,Chicken Parts,1.0
M18596+P18596,K&L Ranch Inc.,Paterson,NJ,80,Chicken Parts,1.0
M18600+P18600,Greco and Sons,Bartlett,IL,50,Chicken Parts,1.0
M18667+P18667,Ellsworth Foods Inc.,Tifton,GA,85,Chicken Parts,1.0
M18678+P18678+V18678,"Fells Point, LLC",Baltimore,MD,80,Chicken Parts,1.0
M18743+P18743,"Olympia Food Industries, Inc.",Franklin Park,IL,50,Chicken Parts,1.0
M1887+P1887,"Marcel's Portion Pak, Inc",Opa-Locka,FL,85,Chicken Parts,1.0
M18888+P18888,Brighton Packing LLC,Chicago,IL,50,Chicken Parts,1.0
M18895+P18895,"US Foods, Inc.",Hawthorne,CA,5,Chicken Parts,1.0
M18987+P18987,JRG Meat Processing Plant,Aibonito,PR,85,Chicken Parts,1.0
M18994+P18994,The 29ers Provisions,Los Angeles,CA,5,Chicken Parts,2.0
M1913A+P18075A+V1913A,"Three Sons Processing-Texas, Inc.",Dfw Airport,TX,40,Chicken Parts,2.0
M19194+P19194,"US Foods, Inc.",Phoenix,AZ,5,Chicken Parts,1.0
M19300+P19300+V19300,Skyline Provisions,Harvey,IL,50,Chicken Parts,1.0
M1940+P17937+V1940,Ruprecht Company,Mundelein,IL,50,Chicken Parts,1.0
M19433+P19433,Ambassador Meat Dist. Inc.,Kansas City,MO,35,Chicken Parts,1.0
M1947A+P1947A,Halperns' Steak and Seafood Company LLC,Kalamazoo,MI,50,Chicken Parts,1.0
M19636+P19636,Tyson Foods Inc,Union City,TN,90,Chicken Parts,1.0
M19652+P19652,Swift Beef Company,Greeley,CO,15,Chicken Parts,2.0
M19669+P19669+V19669,Allen Brothers LLC,Union City,CA,5,Chicken Parts,2.0
M19719+P19719,Twin Rivers Foods,Fort Smith,AR,35,Chicken Parts,2.0
M19719E+P19719E,Twin Rivers Foods,Ft. Smith,AR,35,Chicken Parts,1.0
M19782+P19782,E. Excel Food Inc,Anaheim,CA,5,Chicken Parts,1.0
M19879+P19879+V19879,Golden Valley Industries,Modesto,CA,5,Chicken Parts,1.0
M19909+P19909,"Bally United Produce, LTD",Garland,TX,40,Chicken Parts,1.0
M19916+P8117+V19916,Salt Lake Fine Foods,Salt Lake City,UT,15,Chicken Parts,1.0
M19953+P19953,Go Go Sales Inc.,Los Angeles,CA,5,Chicken Parts,1.0
M19999+P19999,"AU, LAU and Associates, Inc.",Pompano Beach,FL,85,Chicken Parts,1.0
M20088+P20088+V20088,"Brakebush Irving, Inc.",Irving,TX,40,Chicken Parts,1.0
M20106+P20106,Dallas USA Foods Inc.,Dallas,TX,40,Chicken Parts,1.0
M20153+P20153,Rice Field Corporation,City Of Industry,CA,5,Chicken Parts,1.0
M20251W+P20251W,"Tecumseh Poultry, LLC",Waverly,NE,15,Chicken Parts,1.0
M20322+P20322,"Keystone Foods, LLC.",Baker Hill,AL,90,Chicken Parts,1.0
M20401+P20401,"Prime Foods, Inc.",Hyattsville,MD,80,Chicken Parts,1.0
M20815+P20815,"Buckhead Meat & Seafood Mid-Atlantic, Inc.",Landover,MD,80,Chicken Parts,1.0
M20862+P20862,"Olympic Gold Meats, Inc.",Long Beach,CA,5,Chicken Parts,1.0
M20887+P20887,Crescent Foods,Chicago,IL,50,Chicken Parts,2.0
M20889+P20889,"Crown I Enterprises, Inc.",Bay Shore,NY,60,Chicken Parts,1.0
M2095+P2095,"Nealey's Foods, Inc.",Chicago,IL,50,Chicken Parts,1.0
M20AE+P20AE+V20AE,"Lopez Foods, Inc.",Oklahoma City,OK,40,Chicken Parts,1.0
M21103+P21103,US Foods Inc.,Birmingham,AL,90,Chicken Parts,1.0
M21200+P21200,"VF America, LLC",Statham,GA,85,Chicken Parts,1.0
M21202+P21202,Halsey Food Service,Madison,AL,90,Chicken Parts,1.0
M21254+P21254,"William & Co., Inc.",Boston,MA,60,Chicken Parts,1.0
M21275+P21275,D&D Foods Inc.,Omaha,NE,15,Chicken Parts,2.0
M21342+P21342,WanRong Trading Corp.,Long Island City,NY,60,Chicken Parts,1.0
M21430+P21430,Bert Posess Inc,Paterson,NJ,80,Chicken Parts,1.0
M21494+P21494,CCP Poultry & Meat Corp.,Vernon,CA,5,Chicken Parts,1.0
M21498+P21498,Ozark Mountain Poultry Inc.,Rogers,AR,35,Chicken Parts,1.0
M2161+P3,"Mountaire Farms of Delaware, Inc.",Millsboro,DE,80,Chicken Parts,1.0
M21838+P21838,Bachoco OK Foods,Albertville,AL,90,Chicken Parts,2.0
M21863A+P21863A,Rio Grande Pak Foods,Mcallen,TX,40,Chicken Parts,1.0
M21874+P21874,"Rosemead Processing Meats, Inc.",South El Monte,CA,5,Chicken Parts,2.0
M2199+P2199,"Omni Custom Meats, Inc.",Bowling Green,KY,90,Chicken Parts,2.0
M2213A+P2213A,Buckhead Meat of San Antonio,San Antonio,TX,40,Chicken Parts,1.0
